,0,1,2,3,4,5
61,1960,Saint-John Perse, France,French,"""for the soaring flight and the evocative imagery of his poetry, which in a visionary fashion reflects the conditions of our time""[66]",poetry
62,1961,Ivo Andrić, Yugoslavia,Serbo-Croatian,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""[67]","novel, short story"
63,1962,John Steinbeck, United States,English,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""[68]","novel, short story, screenplay"
64,1963,Giorgos Seferis, Greece,Greek,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""[69]","poetry, essay, memoirs"
65,1964,Jean-Paul Sartre, France,French,"""for his work, which rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""[70]","novel, short story, philosophy, drama, literary criticism, screenplay"
66,1965,Mikhail Sholokhov, Soviet Union,Russian,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people""[71]",novel
67,1966,Shmuel Yosef Agnon, Israel,Hebrew,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""[72]","novel, short story"
68,1966,Nelly Sachs, Sweden,German,"""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength""[72]","poetry, drama"
69,1967,Miguel Ángel Asturias, Guatemala,Spanish,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America""[73]","novel, poetry"
70,1968,Yasunari Kawabata, Japan,Japanese,"""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind""[74]","novel, short story"
71,1969,Samuel Beckett, Ireland,English and French,"""for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""[75]","novel, drama, poetry"
72,1970,Aleksandr Solzhenitsyn, Soviet Union,Russian,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""[76]",novel
73,1971,Pablo Neruda, Chile,Spanish,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""[77]",poetry
74,1972,Heinrich Böll, West Germany,German,"""for his writing, which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""[78]","novel, short story"
75,1973,Patrick White, Australia,English,"""for an epic and psychological narrative art, which has introduced a new continent into literature""[79]","novel, short story, drama"
76,1974,Eyvind Johnson, Sweden,Swedish,"""for a narrative art, farseeing in lands and ages, in the service of freedom""[80]",novel
77,1974,Harry Martinson, Sweden,Swedish,"""for writings that catch the dewdrop and reflect the cosmos""[80]","poetry, novel, drama"
78,1975,Eugenio Montale, Italy,Italian,"""for his distinctive poetry, which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions""[81]",poetry
79,1976,Saul Bellow, United States,English,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""[82]","novel, short story"
